text,category
"My bike skidded on the wet road and I fell",Accident
"A car hit me from behind and ran away",Accident
"I crashed into a divider near the highway",Accident
"The truck driver swerved and hit my scooter",Accident
"I have a flat tire and I am stuck in a dark area",Breakdown
"My engine overheated and smoke is coming out",Breakdown
"The customer refused to pay and slapped me",Harassment
"The restaurant owner shouted at me and pushed me",Harassment
"Some guys are following me and shouting bad words",Harassment
"I am feeling dizzy and chest pain",Medical
"I cannot breathe properly and my vision is blurry",Medical
"Fainted due to heat stroke near the park",Medical
"Someone snatched my phone and ran",Theft
"My delivery bag was stolen while I was inside",Theft
"Robbers took my wallet at knife point",Theft
"Car collision at the signal",Accident
"Bumper damage due to sudden braking",Accident
"Customer is drunk and acting violent",Harassment
"Severe back pain, cannot ride anymore",Medical
"Ran out of petrol in a lonely road",Breakdown